Индекс,Исходное,Норм. вручную,Норм. sklearn,Разница,Масшт. вручную,Масшт. sklearn,Разница
344,75.000000,0.004630,0.004630,0.000000,-0.538436,-0.538436,0.000000
345,134.000000,0.008272,0.008272,0.000000,-0.463300,-0.463300,0.000000
346,131.000000,0.008086,0.008086,0.000000,-0.467120,-0.467120,0.000000
347,217.000000,0.013395,0.013395,0.000000,-0.357600,-0.357600,0.000000
348,1268.000000,0.078272,0.078272,0.000000,0.980840,0.980840,0.000000
349,233.000000,0.014383,0.014383,0.000000,-0.337224,-0.337224,0.000000
350,581.000000,0.035864,0.035864,0.000000,0.105951,0.105951,0.000000
351,713.000000,0.044012,0.044012,0.000000,0.274052,0.274052,0.000000
352,743.000000,0.045864,0.045864,0.000000,0.312257,0.312257,0.000000
353,920.000000,0.056790,0.056790,0.000000,0.537665,0.537665,0.000000
354,232.000000,0.014321,0.014321,0.000000,-0.338497,-0.338497,0.000000
